,Temperature[Degree Celsius],10m_X_Wind_Speed [m/s],10m_Y_Wind_Speed [m/s],Surface Pressure [Pa],Precipitatio(cumulus scheme)[kg/m2s1],Precipitatio(microphysics scheme)[kg/m2s1],Humidity,Sunshine Duration(short wave radiation>120 Wm2)[s],Upwelling Surface Shortwave Radiation[W/m2],Upwelling Surface Longwave Radiation[W/m2],Downward SWR,Downward LWR
2020-01-04 19:00:00,1.7803894042968977,7.968101978302002,-4.155623435974121,91841.140625,0.11945640295743942,2.1815412044525146,0.003954106010496616,104.11614227294922,6713806.0,91271488.0,11214958.0,77813904.0
2020-01-04 20:00:00,1.3273864746093977,8.256294250488281,-4.6251044273376465,91879.34375,0.11945640295743942,2.1815574169158936,0.0034097509924322367,125.396728515625,6987310.5,92395200.0,11670060.0,78814944.0
2020-01-04 21:00:00,0.7555786132812727,8.822266578674316,-2.847689390182495,91966.5546875,0.11945640295743942,2.1815574169158936,0.003146588336676359,101.02472686767578,7232552.5,93509304.0,12079270.0,79793688.0
2020-01-04 22:00:00,0.07360229492189774,7.642180919647217,-1.3783059120178223,92175.0859375,0.11945640295743942,2.1815574169158936,0.0030079709831625223,82.3023681640625,7421902.5,94612232.0,12396096.0,80742576.0
2020-01-04 23:00:00,-1.2534851074218523,7.536141872406006,-1.0175163745880127,92337.9921875,0.11945640295743942,2.1815574169158936,0.002678929129615426,26.43722915649414,7543946.0,95683624.0,12600764.0,81557824.0
2020-01-05 00:00:00,-1.8702453613281023,7.387335777282715,-0.9766751527786255,92578.421875,0.11945640295743942,2.1815574169158936,0.002535887062549591,0.0,7549790.5,96728464.0,12610579.0,82324256.0
2020-01-05 01:00:00,-2.8777832031249773,7.215961456298828,-0.9869887232780457,92747.1484375,0.11945640295743942,2.1815574169158936,0.0023646270856261253,0.0,7549790.5,97763600.0,12610579.0,83082656.0
2020-01-05 02:00:00,-3.5714782714843523,6.533036231994629,-1.2419966459274292,92900.3515625,0.11945640295743942,2.1815574169158936,0.0022496022284030914,0.0,7549790.5,98791096.0,12610579.0,83825968.0
2020-01-05 03:00:00,-2.8058837890624773,7.785584926605225,-1.74709951877594,92969.5078125,0.11945640295743942,2.1815574169158936,0.002369149588048458,0.0,7549790.5,99815112.0,12610579.0,84600200.0
2020-01-05 04:00:00,-3.3078674316406023,7.758526802062988,-1.300990104675293,93108.2109375,0.11945640295743942,2.1815574169158936,0.002286351751536131,0.0,7549790.5,100851112.0,12610579.0,85409552.0
2020-01-05 05:00:00,-4.501257324218727,6.582890033721924,-0.7442344427108765,93224.640625,0.11945640295743942,2.1815574169158936,0.002122681587934494,0.0,7549790.5,101867096.0,12610579.0,86147128.0
2020-01-05 06:00:00,-4.976538085937477,6.147488594055176,-0.16596496105194092,93375.9375,0.11945640295743942,2.1815574169158936,0.0020185825414955616,0.0,7549790.5,102870192.0,12610579.0,86866208.0
2020-01-05 07:00:00,-6.670202636718727,4.963271141052246,0.8521946668624878,93383.015625,0.11945640295743942,2.1815574169158936,0.0018583423225209117,0.0,7549790.5,103854992.0,12610579.0,87586920.0
2020-01-05 08:00:00,-7.040502929687477,5.034441947937012,2.146289825439453,93435.1015625,0.11945640295743942,2.1815574169158936,0.0017771588172763586,0.0,7549790.5,104828232.0,12610579.0,88300416.0
2020-01-05 09:00:00,-7.623968505859352,3.798382520675659,2.969590902328491,93370.390625,0.11945640295743942,2.1815574169158936,0.001679315697401762,0.0,7549790.5,105793440.0,12610579.0,89007976.0
2020-01-05 10:00:00,-7.338720703124977,3.5896799564361572,3.518829345703125,93400.140625,0.11945640295743942,2.1815574169158936,0.001681555644609034,0.0,7549790.5,106756752.0,12610579.0,89715784.0
2020-01-05 11:00:00,-6.551092529296852,5.299396991729736,2.3006269931793213,93379.0390625,0.11945640295743942,2.1815574169158936,0.0017090756446123123,0.0,7549790.5,107723440.0,12610579.0,90428568.0
2020-01-05 12:00:00,-7.675604248046852,3.600222110748291,2.788064956665039,93461.859375,0.11945640295743942,2.1815574169158936,0.0016066551906988025,0.0,7549790.5,108696480.0,12610579.0,91154176.0
2020-01-05 13:00:00,-8.565679931640602,3.1174895763397217,3.0207021236419678,93394.8515625,0.11945640295743942,2.1815574169158936,0.0015454409876838326,0.0,7549790.5,109652664.0,12610579.0,91876688.0
