,Temperature[Degree Celsius],10m_X_Wind_Speed [m/s],10m_Y_Wind_Speed [m/s],Surface Pressure [Pa],Precipitatio(cumulus scheme)[kg/m2s1],Precipitatio(microphysics scheme)[kg/m2s1],Humidity,Sunshine Duration(short wave radiation>120 Wm2)[s],Upwelling Surface Shortwave Radiation[W/m2],Upwelling Surface Longwave Radiation[W/m2],Downward SWR,Downward LWR
2020-01-01 00:00:00,-0.8868774414062273,3.924699306488037,1.0497562885284424,92003.6484375,0.0,0.0,0.0032952954061329365,0.0,0.0,0.0,0.0,0.0
2020-01-01 01:00:00,-4.857153320312477,2.579895257949829,1.0291494131088257,91957.34375,0.0,0.0,0.0025459714233875275,0.0,0.0,1020800.5,0.0,874177.5
2020-01-01 02:00:00,-3.9985412597656023,2.0245351791381836,0.7514007091522217,92098.0703125,0.0,0.0,0.002720167161896825,0.0,0.0,2040302.0,0.0,1803598.125
2020-01-01 03:00:00,-3.4100708007812273,1.7117905616760254,0.38849398493766785,91839.0,0.0,0.0,0.0029300928581506014,0.0,0.0,3080409.5,0.0,2819290.25
2020-01-01 04:00:00,-3.9403747558593523,1.999277949333191,0.6100092530250549,91814.625,0.0,0.0,0.002786922501400113,0.0,0.0,4126689.5,0.0,3838052.75
2020-01-01 05:00:00,-3.7749389648437273,2.121487617492676,0.4043184518814087,91681.8515625,0.0,0.0,0.002805074444040656,0.0,0.0,5151549.5,0.0,4782145.5
2020-01-01 06:00:00,-4.487005615234352,2.2403621673583984,-0.08299120515584946,91590.421875,0.0,0.0,0.0026632240042090416,0.0,0.0,6171999.5,0.0,5695765.5
2020-01-01 07:00:00,-3.3323425292968523,2.3594555854797363,-0.6853854060173035,91535.328125,0.018225867301225662,0.0,0.002893579425290227,0.0,0.0,7215264.5,0.0,6713140.5
2020-01-01 08:00:00,-4.328924560546852,1.940413475036621,-0.557064950466156,91504.3984375,0.06767234951257706,0.0,0.0027979223523288965,0.0,0.0,8263374.5,0.0,7732555.5
2020-01-01 09:00:00,-5.068090820312477,2.0246410369873047,-1.4862779378890991,91491.9609375,0.06888120621442795,0.0,0.0025921331252902746,0.0,0.0,9284474.0,0.0,8663051.0
2020-01-01 10:00:00,-5.483618164062477,1.8806116580963135,-1.747564673423767,91477.1953125,0.06888120621442795,0.0,0.002517764223739505,0.0,0.0,10302674.0,0.0,9548561.0
2020-01-01 11:00:00,-6.893865966796852,1.6100637912750244,-1.9997363090515137,91481.234375,0.06888120621442795,0.0,0.0022897247690707445,0.0,0.0,11305394.0,0.0,10425611.0
2020-01-01 12:00:00,-7.881170654296852,0.9906189441680908,-1.5616052150726318,91531.59375,0.06888120621442795,3.745105059405063e-10,0.002158297225832939,0.0,0.0,12282764.0,0.0,11236841.0
2020-01-01 13:00:00,-6.881933593749977,1.2471681833267212,-1.2955924272537231,91581.2734375,0.06888120621442795,1.5405322573158742e-09,0.0022939362097531557,0.0,0.0,13269434.0,0.0,12130961.0
2020-01-01 14:00:00,-7.517156982421852,1.394517421722412,-0.8722484707832336,91654.375,0.06888120621442795,4.34043022323749e-06,0.002225157106295228,0.0,0.0,14262824.0,0.0,13024151.0
2020-01-01 15:00:00,-8.800665283203102,1.5729868412017822,-0.10767951607704163,91678.6640625,0.06888120621442795,0.0006033391109667718,0.0021102125756442547,0.0,0.0,15232844.0,0.0,13840991.0
2020-01-01 16:00:00,-7.912878417968727,2.562385320663452,-0.7199441194534302,91680.4921875,0.06888120621442795,0.001539620221592486,0.002086950233206153,0.0,0.0,16190684.0,0.0,14625881.0
2020-01-01 17:00:00,-5.364172363281227,2.910203695297241,-0.7578266859054565,91700.203125,0.06888120621442795,0.0015396211529150605,0.0024641500785946846,82.13619232177734,94053.203125,17179214.0,154659.3125,15413051.0
2020-01-01 18:00:00,-4.572027587890602,2.3180902004241943,-0.641051709651947,91665.1953125,0.06888120621442795,0.0015396211529150605,0.00265201972797513,168.4954071044922,386822.5,18192434.0,639078.8125,16197251.0
2020-01-01 19:00:00,-3.8463195800781023,1.9583630561828613,-0.8799204230308533,91686.828125,0.06888120621442795,0.0015396211529150605,0.0028228515293449163,221.17855834960938,825404.75,19223774.0,1367977.625,16978318.0
2020-01-01 20:00:00,-3.7257446289062273,1.412636399269104,-1.117151141166687,91676.09375,0.06888120621442795,0.0015396211529150605,0.0028809988871216774,230.50613403320312,1322461.625,20267774.0,2197043.75,17757838.0
2020-01-01 21:00:00,-4.485937499999977,0.7031665444374084,0.5426366329193115,91714.3359375,0.06888120621442795,0.0015396211529150605,0.002847659168764949,195.19891357421875,1781675.375,21307334.0,2965388.75,18536638.0
2020-01-01 22:00:00,-4.876379394531227,1.3920150995254517,0.5491786003112793,91728.2890625,0.06888120621442795,0.0015396211529150605,0.002786135533824563,120.5732192993164,2113025.5,22331834.0,3521341.25,19316278.0
2020-01-01 23:00:00,-6.432531738281227,1.1766020059585571,0.532259464263916,91780.8203125,0.06888120621442795,0.0015396211529150605,0.002905109664425254,25.524824142456055,2250815.5,23330714.0,3753068.75,20101738.0
2020-01-02 00:00:00,-7.190771484374977,1.508486032485962,0.7535536289215088,91879.65625,0.06888120621442795,0.0022627694997936487,0.0025870315730571747,0.0,2255443.0,24301394.0,3760846.25,20884438.0
2020-01-02 01:00:00,-6.921789550781227,1.2261040210723877,0.4742518365383148,91895.75,0.06888120621442795,0.003286761697381735,0.0027248491533100605,0.0,2255443.0,25275194.0,3760846.25,21699718.0
2020-01-02 02:00:00,-6.682562255859352,0.5848290920257568,0.57548987865448,91919.0,0.06888120621442795,0.004594400990754366,0.0027472618967294693,0.0,2255443.0,26271854.0,3760846.25,22613878.0
2020-01-02 03:00:00,-7.291754150390602,0.18379727005958557,1.559069275856018,91857.609375,0.06888120621442795,0.008645782247185707,0.0023286882787942886,0.0,2255443.0,27281714.0,3760846.25,23582038.0
2020-01-02 04:00:00,-7.948431396484352,0.5387930870056152,1.087499976158142,91867.9375,0.06888120621442795,0.016305960714817047,0.0022166166454553604,0.0,2255443.0,28291034.0,3760846.25,24546298.0
2020-01-02 05:00:00,-8.612158203124977,1.389100432395935,1.4111535549163818,91865.671875,0.06888120621442795,0.024656549096107483,0.0021109094377607107,0.0,2255443.0,29293634.0,3760846.25,25498978.0
2020-01-02 06:00:00,-6.264929199218727,1.5399069786071777,0.9059510231018066,91910.6640625,0.06888120621442795,0.02974282205104828,0.002521539106965065,0.0,2255443.0,30313094.0,3760846.25,26503318.0
2020-01-02 07:00:00,-6.267004394531227,0.929386556148529,1.4830231666564941,91865.375,0.06888120621442795,0.033315446227788925,0.0025244872085750103,0.0,2255443.0,31337054.0,3760846.25,27509518.0
2020-01-02 08:00:00,-5.474981689453102,0.8075735569000244,1.298106074333191,91871.125,0.06888120621442795,0.03482197970151901,0.002687714993953705,0.0,2255443.0,32367794.0,3760846.25,28530298.0
2020-01-02 09:00:00,-4.633856201171852,0.4276888966560364,1.7204970121383667,91867.140625,0.07301945984363556,0.051028721034526825,0.0027451443020254374,0.0,2255443.0,33406994.0,3760846.25,29571838.0
