,Temperature[Degree Celsius],10m_X_Wind_Speed [m/s],10m_Y_Wind_Speed [m/s],Surface Pressure [Pa],Precipitatio(cumulus scheme)[kg/m2s1],Precipitatio(microphysics scheme)[kg/m2s1],Humidity,Sunshine Duration(short wave radiation>120 Wm2)[s],Upwelling Surface Shortwave Radiation[W/m2],Upwelling Surface Longwave Radiation[W/m2]
2021-01-01 00:00:00,-6.611242675781227,-0.8199091553688049,2.942925214767456,93306.0,0.0,0.0,0.0023513801861554384,0.0,0.0,0.0
2021-01-01 01:00:00,-8.904455566406227,-0.1864185780286789,2.8641867637634277,93381.6953125,0.0,0.0,0.002243203576654196,0.0,0.0,920489.6875
2021-01-01 02:00:00,-9.409429931640602,-0.004360292572528124,3.015260934829712,93412.796875,0.0,0.0,0.0020225783810019493,0.0,0.0,1838860.5
2021-01-01 03:00:00,-10.381658935546852,-0.1344376653432846,2.633881092071533,93430.0234375,0.0,0.0,0.0018167014932259917,0.0,0.0,2789402.25
2021-01-01 04:00:00,-9.560064697265602,-0.009871842339634895,2.6473073959350586,93394.1796875,0.0,0.0,0.0018726952839642763,0.0,0.0,3747414.75
2021-01-01 05:00:00,-8.502416992187477,0.6401838660240173,2.24814510345459,93412.671875,0.0,0.0,0.0019346672343090177,0.0,0.0,4743481.0
2021-01-01 06:00:00,-7.682562255859352,1.627372145652771,3.2585065364837646,93350.6015625,0.0,0.0,0.0020505611319094896,0.0,0.0,5749603.5
2021-01-01 07:00:00,-10.668066406249977,2.7242889404296875,3.1480634212493896,93296.765625,0.0,0.0,0.0016146493144333363,0.0,0.0,6700151.0
2021-01-01 08:00:00,-11.558416748046852,2.6781599521636963,2.5087831020355225,93314.828125,0.0,0.0,0.0015066589694470167,0.0,0.0,7628846.0
2021-01-01 09:00:00,-12.222357177734352,2.3057937622070312,1.7017332315444946,93340.3046875,0.0,0.0,0.0014838648494333029,0.0,0.0,8531711.0
2021-01-01 10:00:00,-12.335119628906227,2.2744290828704834,1.4261058568954468,93342.875,0.0,0.0,0.0014881993411108851,0.0,0.0,9417081.0
2021-01-01 11:00:00,-11.905157470703102,2.3155760765075684,2.237267017364502,93358.328125,0.0,0.0,0.0014526622835546732,0.0,0.0,10313381.0
2021-01-01 12:00:00,-11.657904052734352,2.4814319610595703,2.6921775341033936,93405.1953125,0.0,0.0,0.0014600494178012013,0.0,0.0,11239461.0
2021-01-01 13:00:00,-11.216864013671852,2.7368826866149902,1.8884618282318115,93404.7578125,0.0,0.0,0.001528512337245047,0.0,0.0,12153181.0
2021-01-01 14:00:00,-11.864965820312477,1.3557889461517334,2.97857928276062,93420.484375,0.0,0.0,0.0014805649407207966,0.0,0.0,13055951.0
2021-01-01 15:00:00,-11.560736083984352,0.5047726631164551,3.6426639556884766,93371.453125,0.0,0.0,0.0014884138945490122,0.0,0.0,13964606.0
2021-01-01 16:00:00,-10.782263183593727,-0.20253027975559235,3.039726734161377,93318.5,0.0,0.0,0.0015991273103281856,0.0,0.0,14881636.0
2021-01-01 17:00:00,-9.544012451171852,-0.5876241326332092,2.436269521713257,93212.1484375,0.0,0.0,0.0016786240739747882,82.9455337524414,99676.71875,15798626.0
2021-01-01 18:00:00,-7.808538818359352,-0.4303247630596161,1.7095390558242798,93137.734375,0.0,0.0,0.0018750510644167662,166.2773895263672,417044.3125,16762856.0
2021-01-01 19:00:00,-6.596899414062477,-0.7703527212142944,1.6245250701904297,92966.6484375,0.0,0.0,0.002150406362488866,215.46397399902344,894403.875,17764696.0
2021-01-01 20:00:00,-5.563879394531227,-1.4663667678833008,1.7203172445297241,92816.25,0.0,0.0,0.0023498532827943563,222.32138061523438,1435643.75,18788516.0
2021-01-01 21:00:00,-5.797003173828102,-2.389103889465332,1.0644562244415283,92684.3203125,0.0,0.0,0.0023619765415787697,185.4315643310547,1934710.625,19817156.0
2021-01-01 22:00:00,-4.887976074218727,-2.57928466796875,1.5586955547332764,92577.921875,0.0,0.0,0.0025931065902113914,46.63226318359375,2140194.5,20865806.0
2021-01-01 23:00:00,-4.265447998046852,-1.8508952856063843,1.7509812116622925,92498.9375,0.0,0.0,0.00272221677005291,10.01537036895752,2206044.5,21926796.0
2021-01-02 00:00:00,-4.254827880859352,-1.4227008819580078,1.7649364471435547,92466.4140625,0.0,0.0,0.002725044032558799,0.0,2208628.25,22989516.0
2021-01-02 01:00:00,-4.592810058593727,-1.576493501663208,1.4224205017089844,92389.234375,0.0,0.0,0.0026718953158706427,0.0,2208628.25,24050346.0
2021-01-02 02:00:00,-5.674993896484352,-2.489271640777588,0.8693962097167969,92354.0546875,0.0,0.0,0.00249925977550447,0.0,2208628.25,25075456.0
2021-01-02 03:00:00,-5.258215332031227,-1.7772846221923828,0.4067872166633606,92346.6484375,0.0,0.0,0.0026528697926551104,0.0,2208628.25,26090986.0
2021-01-02 04:00:00,-4.863195800781227,-0.2918771803379059,1.7824398279190063,92268.109375,0.0,0.0,0.002852499717846513,0.0,2208628.25,27096276.0
2021-01-02 05:00:00,-3.8101257324218523,0.547032356262207,2.4638586044311523,92172.9375,0.0,0.0,0.0029773886781185865,0.0,2208628.25,28114406.0
2021-01-02 06:00:00,-2.5531372070312273,0.48681163787841797,2.4905595779418945,92081.03125,0.0,0.0003395363746676594,0.003205270040780306,0.0,2208628.25,29161626.0
2021-01-02 07:00:00,-1.7647766113281023,0.6250133514404297,2.7496676445007324,92047.9296875,0.0,0.005704130511730909,0.003350128885358572,0.0,2208628.25,30227146.0
2021-01-02 08:00:00,-1.1785339355468523,0.07517926394939423,2.746150255203247,91997.046875,0.0,0.01627274788916111,0.0034732131753116846,0.0,2208628.25,31302396.0
2021-01-02 09:00:00,-1.6127380371093523,0.7452675104141235,3.1603448390960693,91931.9765625,0.0,0.016740841791033745,0.003463123692199588,0.0,2208628.25,32366536.0
2021-01-02 10:00:00,-2.3836425781249773,2.424440383911133,2.351513385772705,91880.6171875,0.0,0.016740841791033745,0.0033515063114464283,0.0,2208628.25,33422446.0
2021-01-02 11:00:00,-2.7909912109374773,3.2929039001464844,0.5418698787689209,91871.25,0.0,0.016740841791033745,0.0031362161971628666,0.0,2208628.25,34488696.0
2021-01-02 12:00:00,-3.2072509765624773,3.1644515991210938,1.0816762447357178,91917.0859375,0.0,0.016740841791033745,0.0029457698110491037,0.0,2208628.25,35551976.0
2021-01-02 13:00:00,-2.6287902832031023,3.7242186069488525,1.4798063039779663,91929.328125,0.0,0.016740841791033745,0.0030112594831734896,0.0,2208628.25,36615596.0
2021-01-02 14:00:00,-3.8645080566406023,4.7051215171813965,1.5419566631317139,91921.875,0.0,0.016740841791033745,0.0026681681629270315,0.0,2208628.25,37673376.0
2021-01-02 15:00:00,-5.157110595703102,4.934453010559082,1.5785712003707886,91929.359375,0.0,0.016740841791033745,0.0023923395201563835,0.0,2208628.25,38696236.0
2021-01-02 16:00:00,-6.644567871093727,3.679924726486206,2.636843204498291,91935.03125,0.0,0.016740841791033745,0.0021500256843864918,0.0,2208628.25,39701056.0
2021-01-02 17:00:00,-6.538183593749977,2.510798215866089,3.0003411769866943,91961.0078125,0.0,0.016740841791033745,0.0022066428791731596,85.52371978759766,2308728.25,40693796.0
2021-01-02 18:00:00,-4.511358642578102,1.8096638917922974,3.117368221282959,91969.6171875,0.0,0.016740841791033745,0.0025724954903125763,170.29945373535156,2624083.25,41712476.0
2021-01-02 19:00:00,-2.4393676757812273,0.9724432229995728,3.760209560394287,91930.21875,0.0,0.016740841791033745,0.0030327525455504656,220.70375061035156,3097604.5,42767316.0
2021-01-02 20:00:00,-0.5571044921874773,1.0112419128417969,4.708665370941162,91866.6015625,0.0,0.016740841791033745,0.003449950134381652,228.40953063964844,3635610.75,43851676.0
2021-01-02 21:00:00,0.35497436523439774,1.1149483919143677,4.962559223175049,91836.15625,0.0,0.016740841791033745,0.003704226575791836,131.76016235351562,4078192.25,44957276.0
2021-01-02 22:00:00,0.6510559082031477,0.9300476908683777,5.018692493438721,91796.3203125,0.0,0.016740841791033745,0.0038549741730093956,74.05919647216797,4325646.0,46076916.0
2021-01-02 23:00:00,0.5471130371093977,1.9925481081008911,4.640241622924805,91765.90625,0.0,0.016740841791033745,0.0039178356528282166,15.871549606323242,4424191.0,47198696.0
2021-01-03 00:00:00,0.7398315429687727,0.4737693965435028,4.473757743835449,91765.0234375,0.0,0.01674158312380314,0.0038617663085460663,0.0,4428633.5,48317936.0
2021-01-03 01:00:00,0.8575683593750227,0.009557840414345264,5.031744956970215,91707.4453125,0.0,0.01674158312380314,0.0038433228619396687,0.0,4428633.5,49433256.0
2021-01-03 02:00:00,0.8434997558593977,0.7041035890579224,5.818027019500732,91633.265625,0.0,0.01674158312380314,0.003862648503854871,0.0,4428633.5,50550856.0
2021-01-03 03:00:00,1.1571289062500227,1.5534090995788574,6.287106990814209,91575.3515625,0.0,0.01674158312380314,0.003912651911377907,0.0,4428633.5,51672356.0
2021-01-03 04:00:00,1.2275329589843977,1.2692838907241821,6.2025837898254395,91485.71875,0.0,0.01674158312380314,0.003913252614438534,0.0,4428633.5,52799456.0
2021-01-03 05:00:00,0.8195434570312727,0.694216251373291,5.518980026245117,91445.34375,0.0,0.01674158312380314,0.0037830015644431114,0.0,4428633.5,53923636.0
2021-01-03 06:00:00,-0.027990722656227263,0.6821647882461548,4.924849987030029,91420.453125,0.0,0.01674158312380314,0.0036014101933687925,0.0,4428633.5,55039036.0
2021-01-03 07:00:00,-1.0138610839843523,0.7054871320724487,4.316521167755127,91378.3203125,0.0,0.01674158312380314,0.003395996754989028,0.0,4428633.5,56138416.0
2021-01-03 08:00:00,-3.7659362792968523,1.6029244661331177,4.004969596862793,91322.8515625,0.0,0.01674158312380314,0.0027893914375454187,0.0,4428633.5,57209916.0
2021-01-03 09:00:00,-3.1416076660156023,3.5776703357696533,3.0004782676696777,91285.125,0.0,0.01674158312380314,0.0029282972682267427,0.0,4428633.5,58237676.0
2021-01-03 10:00:00,-1.7247070312499773,5.855319023132324,1.7469316720962524,91370.34375,0.0,0.01674158312380314,0.003167838556692004,0.0,4428633.5,59319496.0
2021-01-03 11:00:00,-2.5640624999999773,4.290946960449219,-0.5614135265350342,91513.7890625,0.0,0.01674158312380314,0.0031045505311340094,0.0,4428633.5,60407036.0
2021-01-03 12:00:00,-1.9388183593749773,3.607292652130127,-4.197901725769043,91762.765625,0.0,0.1656893789768219,0.003186633577570319,0.0,4428633.5,61490156.0
2021-01-03 13:00:00,-1.0445007324218523,3.6852810382843018,-2.285278081893921,91761.921875,0.0,2.0729846954345703,0.00372066767886281,0.0,4428633.5,62579136.0
2021-01-03 14:00:00,-1.1771606445312273,3.2679765224456787,-1.5801314115524292,91795.9296875,0.0,2.2715890407562256,0.00372973526827991,0.0,4428633.5,63677636.0
2021-01-03 15:00:00,-1.9565795898437273,2.495105028152466,-0.8280929923057556,91825.703125,0.0,2.277982234954834,0.003659011796116829,0.0,4428633.5,64779476.0
2021-01-03 16:00:00,-2.4366821289062273,3.3130290508270264,2.293692111968994,91867.84375,0.0,2.277984619140625,0.0034129947889596224,0.016579996794462204,4428636.0,65857236.0
2021-01-03 17:00:00,-3.6236022949218523,4.502063751220703,1.6074713468551636,91937.3046875,0.0,2.278019428253174,0.0031168011482805014,52.22712326049805,4500888.5,66933616.0
2021-01-03 18:00:00,-4.500402832031227,3.731534242630005,0.8871049880981445,91981.6015625,0.0,2.278019428253174,0.0028713983483612537,159.52572631835938,4751046.0,68007896.0
2021-01-03 19:00:00,-4.042791748046852,4.064393997192383,1.141775131225586,91978.109375,0.0,2.278019428253174,0.002836069092154503,224.3168487548828,5270898.5,69048576.0
2021-01-03 20:00:00,-2.3451904296874773,5.01541805267334,0.9181734919548035,91957.9296875,0.0,2.278019428253174,0.0030528786592185497,233.56590270996094,5868321.0,70106856.0
2021-01-03 21:00:00,-2.5147460937499773,4.375865936279297,0.7619436383247375,91941.4375,0.0,2.278019428253174,0.00301844603382051,197.96702575683594,6426491.0,71172736.0
2021-01-03 22:00:00,-3.3432983398437273,4.133330821990967,1.3532458543777466,92069.8671875,0.0,2.278019428253174,0.0028066509403288364,122.59295654296875,6835603.5,72224616.0
2021-01-03 23:00:00,-4.603338623046852,4.280538558959961,1.708719253540039,92214.1953125,0.0,2.278019428253174,0.0025282609276473522,22.961502075195312,7013208.5,73252816.0
2021-01-04 00:00:00,-5.379583740234352,4.326263904571533,1.8559092283248901,92324.6796875,0.0,2.278019428253174,0.0023839494679123163,0.0,7019963.5,74266936.0
2021-01-04 01:00:00,-5.757849121093727,4.66239595413208,2.038464307785034,92393.9765625,0.0,2.278019428253174,0.0022546660620719194,0.0,7019963.5,75268656.0
2021-01-04 02:00:00,-5.547491455078102,5.192395210266113,2.098266363143921,92429.8359375,0.0,2.278019428253174,0.002267086412757635,0.0,7019963.5,76275096.0
2021-01-04 03:00:00,-3.7722839355468523,5.622888565063477,1.7194843292236328,92496.671875,0.0,2.278019428253174,0.0026294244453310966,0.0,7019963.5,77298856.0
2021-01-04 04:00:00,-4.519903564453102,5.3487396240234375,1.8559553623199463,92545.4609375,0.0,2.278019428253174,0.002427311846986413,0.0,7019963.5,78337416.0
2021-01-04 05:00:00,-6.278875732421852,5.440916061401367,1.7933454513549805,92613.4453125,0.0,2.278019428253174,0.002095891162753105,0.0,7019963.5,79345856.0
2021-01-04 06:00:00,-7.443945312499977,5.011327743530273,1.668255090713501,92670.4921875,0.0,2.278019428253174,0.0019068667897954583,0.0,7019963.5,80332736.0
2021-01-04 07:00:00,-8.213232421874977,4.5693278312683105,1.7865723371505737,92744.4609375,0.0,2.278019428253174,0.0017776262247934937,0.0,7019963.5,81304016.0
2021-01-04 08:00:00,-8.855108642578102,4.2141804695129395,1.8449331521987915,92793.25,0.0,2.278019428253174,0.0016997396014630795,0.0,7019963.5,82264776.0
2021-01-04 09:00:00,-9.513433837890602,3.8622872829437256,2.272707462310791,92815.3359375,0.0,2.278019428253174,0.0016265485901385546,0.0,7019963.5,83214776.0
2021-01-04 10:00:00,-10.165319824218727,3.894294023513794,2.1067116260528564,92868.6328125,0.0,2.278019428253174,0.0015598689205944538,0.0,7019963.5,84157296.0
2021-01-04 11:00:00,-11.018469238281227,3.8989250659942627,1.8281015157699585,92959.59375,0.0,2.278019428253174,0.0014833910390734673,0.0,7019963.5,85089256.0
2021-01-04 12:00:00,-10.780920410156227,4.431395530700684,1.0963672399520874,93082.625,0.0,2.278019428253174,0.0014701582258567214,0.0,7019963.5,86017616.0
2021-01-04 13:00:00,-11.222753906249977,4.301759243011475,0.7290779948234558,93086.8203125,0.0,2.278019428253174,0.0014386004768311977,0.0,7019963.5,86945496.0
2021-01-04 14:00:00,-11.750067138671852,4.049990653991699,1.0479850769042969,93122.21875,0.0,2.278019428253174,0.001387990079820156,0.0,7019963.5,87863856.0
2021-01-04 15:00:00,-12.737158203124977,3.4036478996276855,1.9155429601669312,93115.796875,0.0,2.278019428253174,0.0013197612715885043,0.0,7019963.5,88769936.0
2021-01-04 16:00:00,-12.903570556640602,3.0318095684051514,2.145477771759033,93090.1171875,0.0,2.278019428253174,0.0012968856608495116,0.3004566431045532,7020026.0,89662176.0
2021-01-04 17:00:00,-11.803594970703102,1.9897457361221313,2.4683268070220947,93055.40625,0.0,2.278019428253174,0.0013902060454711318,91.06584167480469,7132838.5,90562576.0
2021-01-04 18:00:00,-9.686865234374977,0.8404967784881592,2.105416774749756,93031.6171875,0.0,2.278019428253174,0.0016551387961953878,178.44970703125,7478456.0,91505176.0
2021-01-04 19:00:00,-7.993170166015602,0.1559009850025177,3.098625898361206,92968.0625,0.0,2.278019428253174,0.0019027309026569128,229.6228485107422,7992361.0,92482976.0
2021-01-04 20:00:00,-6.567816162109352,-0.5587797164916992,2.3049604892730713,92916.453125,0.0,2.278019428253174,0.002151722786948085,237.25750732421875,8573803.0,93486216.0
2021-01-04 21:00:00,-6.201788330078102,-0.9682198166847229,2.780038833618164,92876.1640625,0.0,2.278019428253174,0.002212613122537732,199.90663146972656,9112818.0,94499416.0
2021-01-04 22:00:00,-6.143743896484352,-0.8392466306686401,3.810633659362793,92763.1640625,0.0,2.278019428253174,0.002127276500687003,123.70911407470703,9506658.0,95508056.0
2021-01-04 23:00:00,-6.722601318359352,-0.9763068556785583,4.4214959144592285,92682.15625,0.0,2.278019428253174,0.001956175547093153,22.998794555664062,9678503.0,96504416.0
2021-01-05 00:00:00,-6.650305175781227,-2.0181472301483154,4.013030052185059,92588.8359375,0.0,2.278019428253174,0.001929431688040495,0.0,9686013.0,97490896.0
2021-01-05 01:00:00,-6.432104492187477,-2.86691951751709,2.892537832260132,92464.3515625,0.0,2.278019428253174,0.002019009320065379,0.0,9686013.0,98493976.0
2021-01-05 02:00:00,-7.243597412109352,-1.8357120752334595,3.1017849445343018,92358.15625,0.0,2.278019428253174,0.0020563392899930477,0.0,9686013.0,99484696.0
2021-01-05 03:00:00,-6.198950195312477,-1.4397947788238525,1.7163431644439697,92350.2734375,0.0,2.278019428253174,0.002420322969555855,0.0,9686013.0,100440856.0
2021-01-05 04:00:00,-5.680761718749977,-2.2199416160583496,0.6245847344398499,92380.9453125,0.0,2.278019428253174,0.0023470132146030664,0.0,9686013.0,101425256.0
2021-01-05 05:00:00,-6.542059326171852,-2.5036208629608154,-0.23266147077083588,92403.2890625,0.0,2.278019428253174,0.0022617666982114315,0.0,9686013.0,102434096.0
2021-01-05 06:00:00,-7.200689697265602,-3.3891422748565674,-0.2247491478919983,92413.9453125,0.0,2.278019428253174,0.0021773697808384895,0.0,9686013.0,103447376.0
2021-01-05 07:00:00,-6.985540771484352,-1.3573346138000488,-0.7102487683296204,92457.8828125,0.0,2.278019428253174,0.002201221650466323,0.0,9686013.0,104461376.0
2021-01-05 08:00:00,-6.548223876953102,0.3236390948295593,-0.16883909702301025,92557.6484375,0.0,2.327793836593628,0.0022500441409647465,0.0,9686013.0,105476096.0
2021-01-05 09:00:00,-6.790045166015602,1.8738209009170532,0.6877562403678894,92616.9296875,0.0,2.886775493621826,0.002297288039699197,0.0,9686013.0,106493456.0
2021-01-05 10:00:00,-6.924841308593727,3.116981029510498,-0.5710077285766602,92695.640625,0.0,3.0354106426239014,0.0022353914100676775,0.0,9686013.0,107511416.0
2021-01-05 11:00:00,-7.339178466796852,4.556312561035156,-2.9324209690093994,92787.40625,0.0,3.0407557487487793,0.002113737864419818,0.0,9686013.0,108524336.0
2021-01-05 12:00:00,-7.939581298828102,5.2413716316223145,-3.9306085109710693,92895.5390625,0.0,3.040860414505005,0.0019820297602564096,0.0,9686013.0,109524616.0
2021-01-05 13:00:00,-7.509588623046852,5.650268077850342,-4.027510166168213,93082.8125,0.0,3.043123960494995,0.002029716270044446,0.0,9686013.0,110525496.0
2021-01-05 14:00:00,-6.753668212890602,5.859799861907959,-4.1257429122924805,93245.71875,0.0,3.0694053173065186,0.002136749215424061,0.0,9686013.0,111533136.0
2021-01-05 15:00:00,-7.876226806640602,3.93503737449646,-2.848917245864868,93309.3359375,0.0,3.0694992542266846,0.0019261795096099377,0.0,9686013.0,112537056.0
