,Temperature[Degree Celsius],10m_X_Wind_Speed [m/s],10m_Y_Wind_Speed [m/s],Surface Pressure [Pa],Precipitatio(cumulus scheme)[kg/m2s1],Precipitatio(microphysics scheme)[kg/m2s1],Humidity,Sunshine Duration(short wave radiation>120 Wm2)[s],Upwelling Surface Shortwave Radiation[W/m2],Upwelling Surface Longwave Radiation[W/m2],Downward SWR,Downward LWR
2020-01-02 10:00:00,-4.078863525390602,5.379667282104492,-0.5233628153800964,91613.4453125,0.0,0.15712183713912964,0.003055308945477009,0.0,1408513.25,34838856.0,2347520.0,32049102.0
2020-01-02 11:00:00,-3.2635559082031023,4.759862422943115,-1.5819486379623413,91693.703125,0.0,1.4028722047805786,0.0032433399464935064,0.0,1408513.25,35899632.0,2347520.0,33105682.0
2020-01-02 12:00:00,-2.5877136230468523,5.865185260772705,-3.26507830619812,91728.5625,0.0,2.4514858722686768,0.003384264651685953,0.0,1408513.25,36958188.0,2347520.0,34091684.0
2020-01-02 13:00:00,-3.0325378417968523,4.589147567749023,-0.7009137868881226,91760.046875,0.0,3.0836853981018066,0.003298466093838215,0.0,1408513.25,38022160.0,2347520.0,35061108.0
2020-01-02 14:00:00,-3.1313232421874773,5.773097991943359,0.31082791090011597,91798.390625,0.0,3.387044668197632,0.0032011177390813828,0.0,1408513.25,39085916.0,2347520.0,36064384.0
2020-01-02 15:00:00,-3.4385742187499773,9.626376152038574,-1.3449689149856567,91865.6484375,0.0,3.387131452560425,0.0026707372162491083,0.0,1408513.25,40133732.0,2347520.0,36927656.0
2020-01-02 16:00:00,-4.574194335937477,7.472640037536621,1.0289967060089111,91983.03125,0.0,3.387131452560425,0.002608108799904585,0.0,1408513.25,41167684.0,2347520.0,37729892.0
2020-01-02 17:00:00,-4.938604736328102,8.391191482543945,0.5114939212799072,92047.8671875,0.0,3.387131452560425,0.0024478973355144262,84.00545501708984,1496162.125,42182916.0,2493603.25,38463168.0
2020-01-02 18:00:00,-4.943914794921852,7.561963081359863,0.5359926223754883,92150.5,0.0,3.387131452560425,0.0024335302878171206,170.12417602539062,1783257.125,43198188.0,2972092.0,39183952.0
2020-01-02 19:00:00,-4.523382568359352,10.164093017578125,-0.9126896858215332,92135.6171875,0.0,3.387131452560425,0.0023443771060556173,220.7288818359375,2217564.25,44218036.0,3695938.0,39900948.0
2020-01-02 20:00:00,-4.619116210937477,11.555837631225586,-2.4469552040100098,92206.9453125,0.0,3.392441749572754,0.0024050369393080473,193.94358825683594,2699074.75,45243352.0,4498453.5,40633404.0
2020-01-02 21:00:00,-4.865179443359352,12.066781997680664,-2.9100191593170166,92201.109375,0.0,3.5046169757843018,0.002436828799545765,166.04502868652344,3082608.5,46276636.0,5137681.0,41450612.0
2020-01-02 22:00:00,-5.146459960937477,11.86206340789795,-3.08577036857605,92363.09375,0.0,3.662299394607544,0.0024571288377046585,89.28740692138672,3357675.0,47303688.0,5596125.0,42253796.0
2020-01-02 23:00:00,-5.346441650390602,11.493276596069336,-2.7332541942596436,92437.578125,0.0,3.846454381942749,0.0023692490067332983,16.187116622924805,3462702.0,48326532.0,5771170.0,43075428.0
2020-01-03 00:00:00,-5.475836181640602,11.041133880615234,-3.736140489578247,92587.6875,0.0,3.8921055793762207,0.002187385456636548,0.0,3466364.25,49345528.0,5777277.5,43920984.0
2020-01-03 01:00:00,-5.955694580078102,10.57465934753418,-4.044841766357422,92619.65625,0.0,3.8928604125976562,0.00210623093880713,0.0,3466364.25,50357880.0,5777277.5,44747368.0
2020-01-03 02:00:00,-6.258551025390602,10.010815620422363,-3.954495429992676,92729.75,0.0,3.892942428588867,0.002054476412013173,0.0,3466364.25,51362308.0,5777277.5,45553712.0
2020-01-03 03:00:00,-6.702062988281227,9.305758476257324,-3.5225014686584473,92805.859375,0.0,3.8934943675994873,0.002009078860282898,0.0,3466364.25,52359392.0,5777277.5,46334776.0
2020-01-03 04:00:00,-7.219427490234352,8.668733596801758,-2.5892629623413086,92924.484375,0.0,3.893554210662842,0.0019589741714298725,0.0,3466364.25,53345768.0,5777277.5,47070140.0
